Driver,EventName,TyreLife,exact_compound,delta_from_fresh,dirty_air,TrackTemp,AirTemp
HUL,Bahrain Grand Prix,7.0,C1,0.7434999999999832,0.0,23.5,18.2
VER,Bahrain Grand Prix,12.0,C3,1.3166538461538408,0.0,23.5,18.2
RUS,Bahrain Grand Prix,12.0,C3,1.6528461538461556,0.0,23.5,18.2
PER,Bahrain Grand Prix,12.0,C3,1.438653846153855,0.7424,23.5,18.2
LEC,Bahrain Grand Prix,12.0,C3,1.3656538461538474,0.8371999999999999,23.5,18.2
SAI,Bahrain Grand Prix,12.0,C3,1.2788461538461604,0.9074,23.5,18.2
NOR,Bahrain Grand Prix,12.0,C3,0.8880384615384571,0.46340000000000003,23.5,18.2
PIA,Bahrain Grand Prix,12.0,C3,0.47303846153846507,0.657,23.5,18.2
ALO,Bahrain Grand Prix,12.0,C3,1.3940384615384716,0.7674,23.5,18.2
HAM,Bahrain Grand Prix,12.0,C3,0.9156153846153785,0.8798,23.5,18.2
TSU,Bahrain Grand Prix,9.0,C3,0.3572352941176433,0.6208,23.5,18.2
ALB,Bahrain Grand Prix,9.0,C3,0.34873529411764537,0.6232,23.5,18.2
MAG,Bahrain Grand Prix,9.0,C3,0.5692352941176466,0.5734,23.5,18.2
SAR,Bahrain Grand Prix,9.0,C3,1.157937500000017,0.7218,23.5,18.2
RIC,Bahrain Grand Prix,12.0,C3,1.0074117647058785,0.844,23.5,18.2
OCO,Bahrain Grand Prix,9.0,C3,0.7427352941176366,0.8854,23.5,18.2
GAS,Bahrain Grand Prix,9.0,C3,0.9285612244897976,0.0,23.5,18.2
BOT,Bahrain Grand Prix,9.0,C3,1.2402352941176389,0.6968,23.5,18.2
HUL,Bahrain Grand Prix,8.0,C1,0.8634999999999877,0.0,23.5,18.2
VER,Bahrain Grand Prix,13.0,C3,1.102461538461526,0.0,23.5,18.2
RUS,Bahrain Grand Prix,13.0,C3,1.7596538461538387,0.0,23.5,18.2
PER,Bahrain Grand Prix,13.0,C3,1.5274615384615373,0.7692,23.5,18.2
LEC,Bahrain Grand Prix,13.0,C3,1.4604615384615443,0.7876,23.5,18.2
SAI,Bahrain Grand Prix,13.0,C3,0.9116538461538539,0.8702,23.5,18.2
NOR,Bahrain Grand Prix,13.0,C3,0.8148461538461618,0.4566,23.5,18.2
PIA,Bahrain Grand Prix,13.0,C3,0.5048461538461453,0.6506,23.5,18.2
HAM,Bahrain Grand Prix,13.0,C3,0.3624230769230792,0.5374,23.5,18.2
ALO,Bahrain Grand Prix,13.0,C3,1.8778461538461642,0.0,23.5,18.2
TSU,Bahrain Grand Prix,10.0,C3,0.7711176470588299,0.5690000000000001,23.5,18.2
ALB,Bahrain Grand Prix,10.0,C3,0.704617647058825,0.6036,23.5,18.2
MAG,Bahrain Grand Prix,10.0,C3,0.5111176470588248,0.5316,23.5,18.2
RIC,Bahrain Grand Prix,13.0,C3,0.5072941176470636,0.47039999999999993,23.5,18.2
GAS,Bahrain Grand Prix,10.0,C3,0.46372448979592207,0.7748,23.5,18.2
BOT,Bahrain Grand Prix,10.0,C3,0.983117647058819,0.7021999999999999,23.5,18.2
HUL,Bahrain Grand Prix,9.0,C1,1.4074999999999989,0.0,23.4,18.2
